start station id,Ride Count
72,1135
79,945
82,453
83,505
116,2439
119,91
120,327
127,2292
128,1969
137,1194
143,469
144,190
146,935
147,1940
150,920
151,3092
152,863
153,1519
157,637
160,983
161,1676
164,1031
167,1720
168,3098
173,2076
174,1803
195,1196
212,1684
216,186
217,409
223,1871
224,656
225,754
228,1401
229,1881
232,216
233,196
236,1986
237,2240
238,1086
239,681
241,397
242,250
243,306
244,466
245,198
247,933
248,427
249,810
250,2866
251,1450
252,1435
253,1544
254,1161
257,1210
258,607
259,601
260,626
261,471
262,405
263,1599
264,691
265,1381
266,472
267,1093
268,1387
270,722
274,366
275,273
276,707
278,280
279,923
280,1478
281,1520
282,431
284,3061
285,3813
289,144
291,594
293,4533
294,2
295,1163
296,1187
297,2214
298,221
300,1368
301,1845
302,925
303,999
304,1125
305,1660
306,794
307,1663
308,968
309,1023
310,805
311,1084
312,2102
313,366
314,667
315,901
316,843
317,1492
319,800
320,891
321,304
322,295
323,699
324,690
325,1341
326,1835
327,2425
328,1148
329,1844
330,921
331,399
332,454
334,1931
335,1783
336,1299
337,675
339,312
340,814
341,652
342,850
343,183
344,320
345,1860
346,1747
347,1660
348,1450
350,1035
351,788
352,1779
353,326
354,357
355,1204
356,1090
357,1057
358,2813
359,2893
360,920
361,1576
362,1284
363,1178
364,311
365,231
366,779
367,1134
368,3077
369,1107
372,134
373,171
375,2010
376,798
377,988
379,2904
380,2081
382,2304
383,1527
384,551
385,1130
386,886
387,2036
388,1669
389,468
390,347
391,936
392,416
393,897
394,1415
395,398
396,267
397,303
398,249
399,418
400,516
401,1726
402,3552
403,1215
405,1849
406,513
407,241
408,645
409,173
410,1908
411,658
412,1036
414,329
415,853
416,435
417,2279
418,243
419,271
420,305
421,311
422,717
426,2548
427,661
428,1833
430,1020
432,2485
433,1815
434,1445
435,4761
436,137
437,467
438,1714
439,1715
440,1290
441,1316
442,2468
443,135
444,2977
445,2065
446,2646
447,1767
448,1430
449,1754
450,1824
453,2442
454,673
455,1281
456,1040
457,1915
458,1739
459,3160
460,571
461,2159
462,2425
463,1995
465,2143
466,2187
467,534
468,2194
469,1252
470,1637
471,411
472,2676
473,932
474,2068
475,1677
476,1604
477,3465
478,1892
479,1931
480,1447
481,510
482,1809
483,2039
484,2122
485,1372
486,2081
487,2010
488,2045
489,2006
490,3617
491,2039
492,2597
493,1390
494,2355
495,1550
496,2260
497,4104
498,2276
499,2034
