end station id,Ride Count
72,1123
79,1112
82,464
83,452
116,2446
119,98
120,305
127,2301
128,2120
137,1201
143,421
144,184
146,989
147,2294
150,954
151,2957
152,904
153,1489
157,704
160,985
161,1871
164,1051
167,1685
168,3289
173,2097
174,1813
195,1027
212,1686
216,137
217,431
223,1926
224,660
225,914
228,1417
229,1904
232,236
233,159
236,2030
237,2263
238,1089
239,608
241,318
242,326
243,494
244,377
245,139
247,950
248,409
249,841
250,2887
251,1648
252,1456
253,1562
254,1146
255,13
257,1296
258,380
259,779
260,673
261,449
262,314
263,1595
264,701
265,1419
266,475
267,1099
268,1413
270,645
274,412
275,236
276,720
278,268
279,932
280,1497
281,1499
282,434
284,3287
285,3904
289,104
291,608
293,4511
294,2
295,1164
296,1207
297,2221
298,253
300,1429
301,1934
302,920
303,1121
304,1162
305,1691
306,841
307,1669
308,955
309,1064
310,868
311,1110
312,1792
313,397
314,637
315,917
316,865
317,1829
319,754
320,957
321,241
322,273
323,750
324,1259
325,1343
326,1933
327,2429
328,1145
329,1783
330,939
331,391
332,455
334,1959
335,1774
336,1386
337,726
339,276
340,820
341,643
342,822
343,248
344,312
345,1858
346,1765
347,1675
348,1741
350,1042
351,824
352,1802
353,298
354,365
355,1243
356,779
357,1061
358,2877
359,2879
360,845
361,1492
362,1011
363,1148
364,266
365,200
366,766
367,1115
368,3157
369,1126
372,103
373,201
375,2112
376,819
377,1036
379,2940
380,2182
382,2291
383,1603
384,523
385,1140
386,886
387,1829
388,1680
389,494
390,384
391,645
392,472
393,903
394,1469
395,414
396,288
397,273
398,281
399,228
400,499
401,1651
402,3547
403,1288
405,1901
406,491
407,193
408,658
409,157
410,1971
411,649
412,1032
414,444
415,1182
416,343
417,2312
418,266
419,241
420,227
421,270
422,680
426,2606
427,758
428,1846
430,1036
432,2071
433,1767
434,1529
435,4758
436,115
437,500
438,1733
439,1772
440,1290
441,1300
442,2545
443,82
444,2977
445,2123
446,2703
447,1668
448,1451
449,1482
450,1814
453,2504
454,688
455,1258
456,1051
457,1767
458,1737
459,3218
460,587
461,2163
462,2454
463,2014
465,2059
466,2178
467,678
468,1768
469,1079
470,1687
471,438
472,2620
473,875
474,2076
475,1692
476,1623
477,4037
478,1902
479,1972
480,1451
481,386
482,1894
483,2107
484,2114
485,1341
486,1984
487,2047
488,2060
489,2034
490,3570
491,1976
492,3203
493,1408
494,2387
495,1560
496,2295
497,4325
498,2287
499,1891
500,1555
501,1285
502,1451
503,2079
504,2695
505,2592
507,1726
508,1259
509,2273
510,1713
511,1690
512,1475
