year,Age,avg_duration
1885,133,803.3650794
1899,119,1130.125
1900,118,1088.458333
1901,117,1227.388889
1907,111,1279
1910,108,137.4347826
1917,101,476
1918,100,371
1926,92,538.5
1932,86,406.1111111
1934,84,664.8
1935,83,623.5833333
1936,82,766.375
1937,81,371.1666667
1938,80,795.3504673
1939,79,798.4621849
1940,78,631.1012146
1941,77,660.2818792
1942,76,862.3267974
1943,75,693.5588235
1944,74,824.328629
1945,73,1221.598592
1946,72,1122.493151
1947,71,1297.067449
1948,70,782.7184685
1949,69,1025.242857
1950,68,713.9120805
1951,67,823.3023447
1952,66,858.6280156
1953,65,741.173926
1954,64,915.2210102
1955,63,806.3524514
1956,62,763.6168819
1957,61,776.0623728
1958,60,874.9729292
1959,59,816.9298744
1960,58,736.215742
1961,57,814.7860256
1962,56,821.1434901
1963,55,963.779846
1964,54,761.3425365
1965,53,766.4203569
1966,52,773.9131886
1967,51,884.75158
1968,50,977.2567119
1969,49,745.9044806
1970,48,730.4256875
1971,47,746.6828161
1972,46,832.8635675
1973,45,727.2264525
1974,44,741.3570283
1975,43,701.2572551
1976,42,750.3090771
1977,41,810.101615
1978,40,890.5349061
1979,39,824.4812059
1980,38,739.3487325
1981,37,755.055452
1982,36,823.6192189
1983,35,753.6882305
1984,34,672.410645
1985,33,709.7867786
1986,32,709.329912
1987,31,716.9797909
1988,30,763.4918052
1989,29,665.9440025
1990,28,705.593136
1991,27,648.1892535
1992,26,673.0868017
1993,25,617.4912629
1994,24,623.061257
1995,23,631.3994398
1996,22,641.928624
1997,21,725.1955056
1998,20,1019.44665
1999,19,632.7791165
2000,18,455
1885,133,814.4361702
1899,119,1077.894737
1900,118,784.0693069
1901,117,1538.5
1907,111,1042
1910,108,177.7692308
1917,101,967
1918,100,615.5
1920,98,1141
1921,97,130
1926,92,809.4545455
1932,86,617.1666667
1934,84,803.8
1935,83,555.4444444
1936,82,704.8
1937,81,1643.071429
1938,80,857.1780822
1939,79,814.4193548
1940,78,703.8275862
1941,77,652.25
1942,76,743.4098074
1943,75,733.784375
1944,74,798.3272727
1945,73,882.95053
1946,72,1133.864336
1947,71,676.2245302
1948,70,702.8939502
1949,69,1047.231179
1950,68,803.391494
1951,67,806.2348574
1952,66,756.6055276
1953,65,856.3824909
1954,64,921.4430877
1955,63,825.2052951
1956,62,812.2410125
1957,61,1031.083723
1958,60,789.5299781
1959,59,897.1678852
1960,58,864.9068586
1961,57,797.5907962
1962,56,820.1854489
1963,55,865.5779242
1964,54,758.0394328
1965,53,805.2785364
1966,52,789.7835409
1967,51,881.0532092
1968,50,746.8536681
1969,49,886.2763715
1970,48,918.9199857
1971,47,801.8536319
1972,46,737.5623874
1973,45,773.5242582
1974,44,720.0755809
1975,43,794.6945867
1976,42,736.0205885
1977,41,745.4168876
1978,40,816.9080576
1979,39,772.3803763
1980,38,735.9769169
1981,37,892.7492904
1982,36,727.1796925
1983,35,761.9355461
1984,34,724.4095607
1985,33,730.0356555
1986,32,715.3351359
1987,31,724.4018687
1988,30,710.5627065
1989,29,703.8174749
1990,28,792.5095942
1991,27,747.6659383
1992,26,668.6968174
1993,25,697.3241286
1994,24,669.4040808
1995,23,579.8834553
1996,22,925.3136991
1997,21,552.2091131
1998,20,610.0139398
1999,19,1198.839844
2000,18,481
1885,133,2403.038835
1899,119,1109.205882
1900,118,874.5619835
1901,117,1088.176471
1907,111,1020.5
1910,108,351.1111111
1917,101,870.125
1918,100,583.3333333
1920,98,656
1921,97,231.5
1926,92,1092.105263
1927,91,8781
1932,86,587.3076923
1933,85,3113.75
1934,84,667.5454545
1935,83,1844.72093
1936,82,835.1182796
1937,81,618.4
1938,80,987.6580882
1939,79,815.7175141
1940,78,686.2903226
1941,77,791.3507853
1942,76,860.2976589
1943,75,723.8684211
1944,74,832.0182768
1945,73,855.8211474
1946,72,960.4990138
1947,71,823.5329154
1948,70,753.7274481
1949,69,1075.128023
1950,68,849.4319157
1951,67,983.9797643
1952,66,1028.726907
1953,65,836.474604
1954,64,972.3327216
1955,63,903.1250875
1956,62,969.9494125
1957,61,821.9466999
1958,60,856.7694059
1959,59,978.2751742
1960,58,804.2482894
1961,57,982.5265676
1962,56,798.3185243
1963,55,860.9986752
1964,54,867.30898
1965,53,822.7389481
1966,52,941.1593893
1967,51,855.5159982
1968,50,798.4250914
1969,49,837.9383372
1970,48,744.1964411
1971,47,807.1637201
1972,46,993.0434215
1973,45,863.6971894
1974,44,853.4549716
1975,43,876.7864676
1976,42,1008.927952
1977,41,838.6271211
1978,40,823.8587282
1979,39,822.1280806
1980,38,763.3113556
1981,37,832.6673152
1982,36,1096.925993
1983,35,834.1403514
1984,34,868.1969834
1985,33,780.5501402
1986,32,815.1329239
1987,31,767.5517274
1988,30,759.6206198
1989,29,825.7652229
1990,28,830.5420828
1991,27,804.1543416
1992,26,892.9736457
1993,25,774.3659563
1994,24,709.7828304
1995,23,681.8692771
1996,22,707.4208839
1997,21,741.7279693
1998,20,646.3445596
1999,19,731.62
2000,18,600.3191489
1885,133,822.4558824
1894,124,5754.333333
1899,119,978.8787879
1900,118,949.7981651
1901,117,1074.482759
1910,108,540.6388889
1917,101,1154.55
1918,100,524
1920,98,971.9285714
1921,97,384.4666667
1926,92,770.2777778
1930,88,516.6
1932,86,385.8571429
1933,85,26777
1934,84,962.4
1935,83,762.8727273
1936,82,792.6595745
1937,81,680.4
1938,80,771.9059829
1939,79,855.3283582
1940,78,819.7975
1941,77,766.6788321
1942,76,840.2593037
1943,75,791.2084746
1944,74,967.2207792
1945,73,851.6244395
1946,72,918.4187558
1947,71,844.7567114
1948,70,1737.749046
1949,69,929.6649114
1950,68,1125.463789
1951,67,1624.969689
1952,66,847.6171228
1953,65,908.3799087
1954,64,877.5611143
1955,63,942.3129233
1956,62,852.2600125
1957,61,1033.148691
1958,60,812.8439394
1959,59,964.2037606
1960,58,888.5623095
1961,57,870.6875513
1962,56,927.4254159
1963,55,844.9120338
1964,54,939.126146
1965,53,832.44358
1966,52,859.2178675
1967,51,904.5494534
1968,50,920.0655861
1969,49,955.2383763
1970,48,843.0577436
1971,47,934.1260048
1972,46,817.364985
1973,45,800.9693123
1974,44,789.1315966
1975,43,834.8553941
1976,42,794.038053
1977,41,824.6777686
1978,40,985.6440799
1979,39,806.6315164
1980,38,829.1434076
1981,37,929.9192534
1982,36,826.9573316
1983,35,834.2452937
1984,34,815.2209716
1985,33,780.7652661
1986,32,1031.696124
1987,31,790.2360029
1988,30,822.1352608
1989,29,832.4112111
1990,28,834.03226
1991,27,839.3543841
1992,26,880.5003403
1993,25,766.4084451
1994,24,742.1493651
1995,23,805.7198691
1996,22,693.3035144
1997,21,667.9305792
1998,20,636.4089681
1999,19,715.7878476
2000,18,987.2290076
1885,133,779.5555556
1888,130,1067.4
1894,124,359.1428571
1899,119,1175.333333
1900,118,1057.813953
1901,117,1051.96875
1909,109,848.5333333
1910,108,828.6206897
1912,106,1583
1913,105,1920
1917,101,1052.666667
1918,100,569.2142857
1920,98,1275.555556
1921,97,373.5882353
1923,95,722
1925,93,854.5
1926,92,1215
1930,88,1296
1932,86,411.5384615
1933,85,1413.028571
1934,84,666.3636364
1935,83,623.7111111
1936,82,886.5277778
1937,81,1086.22807
1938,80,2640.19917
1939,79,735.1485714
1940,78,878.1851852
1941,77,1220.490541
1942,76,804.7215496
1943,75,854.0304487
1944,74,869.2748344
1945,73,830.3339713
1946,72,1221.839616
1947,71,838.1755567
1948,70,913.1290043
1949,69,1301.596231
1950,68,932.6275191
1951,67,1124.625786
1952,66,964.4418306
1953,65,861.8764027
1954,64,898.063786
1955,63,906.5415321
1956,62,856.9422076
1957,61,897.8531564
1958,60,905.3877532
1959,59,982.9961311
1960,58,859.3729629
1961,57,905.0591169
1962,56,874.9672435
1963,55,851.9121382
1964,54,846.1716097
1965,53,796.3858483
1966,52,1007.221931
1967,51,847.0445832
1968,50,890.6024898
1969,49,833.4660943
1970,48,851.4140987
1971,47,890.7538871
1972,46,837.2441776
1973,45,817.6728771
1974,44,883.738223
1975,43,885.9236526
1976,42,831.9878104
1977,41,853.7454817
1978,40,840.3911629
1979,39,911.7083056
1980,38,884.3081479
1981,37,895.0122965
1982,36,935.8927131
1983,35,820.1677587
1984,34,838.824356
1985,33,854.2668833
1986,32,817.4328476
1987,31,807.9906906
1988,30,879.0112627
1989,29,807.8159336
1990,28,836.5713165
1991,27,854.4093486
1992,26,829.1086904
1993,25,830.1010625
1994,24,835.7969468
1995,23,830.0994684
1996,22,740.6596499
1997,21,897.1196809
1998,20,738.2583269
1999,19,703.8188153
2000,18,650.575
1885,133,901.0446429
1887,131,1284.8
1888,130,701.9666667
1894,124,284
1899,119,873.4210526
1900,118,1025.829457
1901,117,1134.470588
1907,111,1990.428571
1910,108,424.6052632
1912,106,676.4
1913,105,1900.5
1917,101,799.3448276
1918,100,1275.066667
1920,98,1401
1921,97,512.7419355
1923,95,924.1176471
1925,93,832.6666667
1926,92,968
1931,87,484
1932,86,746.7857143
1933,85,1131.55
1934,84,542.5
1935,83,728.5507246
1936,82,1006.247059
1937,81,701.6410256
1938,80,1033.578059
1939,79,880.0282486
1940,78,799.2551867
1941,77,802.9884696
1942,76,777.1820041
1943,75,812.7875
1944,74,783.9863732
1945,73,711.2858355
1946,72,802.1449477
1947,71,756.8036493
1948,70,867.1826434
1949,69,844.8541465
1950,68,852.3273062
1951,67,968.4100102
1952,66,834.9816498
1953,65,907.9745003
1954,64,865.616748
1955,63,885.4742959
1956,62,850.9922533
1957,61,907.4694691
1958,60,849.3514677
1959,59,864.4233458
1960,58,808.3037169
1961,57,838.9117891
1962,56,843.9524496
1963,55,816.846412
1964,54,830.8442686
1965,53,779.5819428
1966,52,822.5376688
1967,51,788.8274679
1968,50,888.816269
1969,49,848.870761
1970,48,815.1861131
1971,47,844.5942084
1972,46,806.1883372
1973,45,898.1214199
1974,44,853.0520046
1975,43,825.2243385
1976,42,790.2843785
1977,41,894.4476611
1978,40,839.3881015
1979,39,850.174414
1980,38,883.6946074
1981,37,804.5026225
1982,36,809.743063
1983,35,808.2046255
1984,34,855.4580372
1985,33,802.1280417
1986,32,814.815318
1987,31,816.9036398
1988,30,830.6032643
1989,29,811.4900377
1990,28,793.4407691
1991,27,816.1575994
1992,26,808.3647502
1993,25,831.8013385
1994,24,798.3723394
1995,23,876.6854164
1996,22,825.5991144
1997,21,938.8687014
1998,20,775.2689791
1999,19,716.2188767
2000,18,858.408971
1885,133,1053.026087
1888,130,835.7419355
1893,125,1337.5
1894,124,247
1899,119,961.35
1900,118,1110.386139
1901,117,1016.368421
1907,111,488
1910,108,701.0833333
1912,106,557
1913,105,1852.333333
1917,101,773.5555556
1918,100,352.7142857
1920,98,547.25
1921,97,521.3333333
1923,95,633.9
1925,93,796.5
1926,92,621.8235294
1931,87,757.8
1932,86,624.1827957
1933,85,1084.040816
1934,84,752.5833333
1935,83,761.6794872
1936,82,892.5362319
1937,81,708.6875
1938,80,933.3262411
1939,79,1000.3875
1940,78,784.6545455
1941,77,676.0379581
1942,76,864.547619
1943,75,850.2391714
1944,74,749.2998833
1945,73,733.0183398
1946,72,780.5349379
1947,71,686.3640738
1948,70,791.8075201
1949,69,870.2139721
1950,68,823.0112474
1951,67,864.8548457
1952,66,858.602019
1953,65,843.8910274
1954,64,835.3623402
1955,63,859.7120852
1956,62,789.0523386
1957,61,834.0993837
1958,60,843.3398785
1959,59,840.8857207
1960,58,886.1955672
1961,57,862.7224301
1962,56,888.5030527
1963,55,848.7268118
1964,54,782.8904474
1965,53,794.1902124
1966,52,832.7885859
1967,51,812.9958626
1968,50,823.5829888
1969,49,849.8059156
1970,48,841.1018493
1971,47,817.0016031
1972,46,791.0130685
1973,45,844.2014217
1974,44,835.5661885
1975,43,771.326891
1976,42,816.7513218
1977,41,1010.685941
1978,40,825.098057
1979,39,805.5910254
1980,38,831.3463943
1981,37,787.4088268
1982,36,789.2273691
1983,35,788.9371364
1984,34,821.7261968
1985,33,846.0197935
