year,month,usertype,gender,Ride Count
2013,7,Customer,Unknown,174889
2013,7,Customer,Male,25
2013,7,Customer,Female,1
2013,7,Subscriber,Unknown,42
2013,7,Subscriber,Male,511454
2013,7,Subscriber,Female,157005
2013,8,Customer,Unknown,186044
2013,8,Customer,Male,12
2013,8,Subscriber,Unknown,52
2013,8,Subscriber,Male,616902
2013,8,Subscriber,Female,198948
2013,9,Customer,Unknown,145167
2013,9,Customer,Male,2
2013,9,Subscriber,Unknown,60
2013,9,Subscriber,Male,669730
2013,9,Subscriber,Female,219400
2013,10,Customer,Unknown,97445
2013,10,Customer,Male,1
2013,10,Subscriber,Unknown,53
2013,10,Subscriber,Male,714292
2013,10,Subscriber,Female,225921
2013,11,Customer,Unknown,43972
2013,11,Customer,Male,1
2013,11,Subscriber,Unknown,45
2013,11,Subscriber,Male,487385
2013,11,Subscriber,Female,144371
2013,12,Customer,Unknown,19380
2013,12,Customer,Male,1
2013,12,Subscriber,Unknown,14
2013,12,Subscriber,Male,335586
2013,12,Subscriber,Female,88985
2014,1,Customer,Unknown,7254
2014,1,Subscriber,Unknown,15
2014,1,Subscriber,Male,236106
2014,1,Subscriber,Female,57025
2014,2,Customer,Unknown,6717
2014,2,Subscriber,Unknown,14
2014,2,Subscriber,Male,176526
2014,2,Subscriber,Female,41479
2014,3,Customer,Unknown,22881
2014,3,Customer,Male,1
2014,3,Subscriber,Unknown,44
2014,3,Subscriber,Male,330567
2014,3,Subscriber,Female,85624
2014,4,Customer,Unknown,63047
2014,4,Subscriber,Unknown,65
2014,4,Subscriber,Male,473395
2014,4,Subscriber,Female,134273
2014,5,Customer,Unknown,107545
2014,5,Customer,Male,4
2014,5,Customer,Female,2
2014,5,Subscriber,Unknown,66
2014,5,Subscriber,Male,583692
2014,5,Subscriber,Female,174808
2014,6,Customer,Unknown,118189
2014,6,Customer,Male,8
2014,6,Customer,Female,8
2014,6,Subscriber,Unknown,163
2014,6,Subscriber,Male,620941
2014,6,Subscriber,Female,197571
2014,7,Customer,Unknown,119033
2014,7,Customer,Male,28
2014,7,Customer,Female,3
2014,7,Subscriber,Unknown,207
2014,7,Subscriber,Male,647438
2014,7,Subscriber,Female,202133
2014,8,Customer,Unknown,135865
2014,8,Customer,Female,9
2014,8,Subscriber,Unknown,249
2014,8,Subscriber,Male,630656
2014,8,Subscriber,Female,196710
2014,9,Customer,Unknown,99309
2014,9,Customer,Male,6
2014,9,Subscriber,Unknown,229
2014,9,Subscriber,Male,651487
2014,9,Subscriber,Female,202856
2014,10,Customer,Unknown,69081
2014,10,Customer,Male,2
2014,10,Subscriber,Unknown,280
2014,10,Subscriber,Male,587237
2014,10,Subscriber,Female,172111
2014,11,Customer,Unknown,28007
2014,11,Customer,Male,1
2014,11,Subscriber,Unknown,167
2014,11,Subscriber,Male,391728
2014,11,Subscriber,Female,109285
2014,12,Customer,Unknown,16495
2014,12,Subscriber,Unknown,58
2014,12,Subscriber,Male,306139
2014,12,Subscriber,Female,76377
2015,1,Customer,Unknown,5628
2015,1,Subscriber,Unknown,67
2015,1,Subscriber,Male,227764
2015,1,Subscriber,Female,52093
2015,2,Customer,Unknown,2265
2015,2,Subscriber,Unknown,38
2015,2,Subscriber,Male,161563
2015,2,Subscriber,Female,33064
2015,3,Customer,Unknown,12851
2015,3,Subscriber,Unknown,84
2015,3,Subscriber,Male,265849
2015,3,Subscriber,Female,63042
2015,4,Customer,Unknown,66213
2015,4,Subscriber,Unknown,160
2015,4,Subscriber,Male,457585
2015,4,Subscriber,Female,128432
2015,5,Customer,Unknown,167544
2015,5,Subscriber,Unknown,322
2015,5,Subscriber,Male,608007
2015,5,Subscriber,Female,186113
2015,6,Customer,Unknown,130381
2015,6,Subscriber,Unknown,592
2015,6,Subscriber,Male,621591
2015,6,Subscriber,Female,188655
2015,7,Customer,Unknown,180362
2015,7,Subscriber,Unknown,1048
